topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,issue_id
0.00014903129657234588,0.47451843142382816,0.00014903129657234588,0.24233096574557866,0.00014903129657234588,0.00014903129657234588,0.00014903129657234588,0.00014903129657234588,0.28210738375458666,0.00014903129657234588,MAPREDUCE-6208
0.00038314176245224065,0.00038314176245224065,0.00038314176245224065,0.00038314176245224065,0.26991360191346664,0.00038314176245224065,0.47592294152310843,0.00038314176245224065,0.00038314176245224065,0.2514814642262592,MAPREDUCE-6141
0.00010298661174051033,0.00010298661174051033,0.00010298661174051033,0.00010298661174051033,0.23772636222919782,0.11094558325590842,0.49065549143536363,0.16005464340908698,0.00010298661174051033,0.00010298661174051033,MAPREDUCE-6135
0.0001721170395869471,0.0001721170395869471,0.0001721170395869471,0.9984509466437176,0.0001721170395869471,0.0001721170395869471,0.0001721170395869471,0.0001721170395869471,0.0001721170395869471,0.0001721170395869471,MAPREDUCE-6113
0.00035587188612108456,0.00035587188612108456,0.00035587188612108456,0.00035587188612108456,0.00035587188612108456,0.00035587188612108456,0.9967971530249101,0.00035587188612108456,0.00035587188612108456,0.00035587188612108456,MAPREDUCE-6128
0.0009900990099011916,0.21336941481476493,0.0009900990099011916,0.0009900990099011916,0.0009900990099011916,0.0009900990099011916,0.0009900990099011916,0.39708800513919684,0.0009900990099011916,0.38261188697673,MAPREDUCE-6124
0.00025575447570338046,0.27209163317618834,0.00025575447570338046,0.00025575447570338046,0.00025575447570338046,0.00025575447570338046,0.45352201124750174,0.2725960742463864,0.00025575447570338046,0.00025575447570338046,MAPREDUCE-6084
0.00019960079840323266,0.14463117136004155,0.00019960079840323266,0.00019960079840323266,0.00019960079840323266,0.00019960079840323266,0.494832988643444,0.35913863440769184,0.00019960079840323266,0.00019960079840323266,MAPREDUCE-6080
0.000226757369614587,0.000226757369614587,0.000226757369614587,0.000226757369614587,0.1628624536918125,0.08009537836448134,0.7554548663564042,0.000226757369614587,0.000226757369614587,0.000226757369614587,MAPREDUCE-6059
0.25196441059333174,0.00034364261168389946,0.00034364261168389946,0.5241779606562256,0.22145213046865536,0.00034364261168389946,0.00034364261168389946,0.00034364261168389946,0.00034364261168389946,0.00034364261168389946,MAPREDUCE-6047
0.0014084507042254636,0.0014084507042254636,0.0014084507042254636,0.0014084507042254636,0.0014084507042254636,0.0014084507042254636,0.0014084507042254636,0.987323943661971,0.0014084507042254636,0.0014084507042254636,MAPREDUCE-6018
0.00018832391713753045,0.00018832391713753045,0.7646523358446979,0.00018832391713753045,0.2338410728182019,0.00018832391713753045,0.00018832391713753045,0.00018832391713753045,0.00018832391713753045,0.00018832391713753045,MAPREDUCE-6000
